model,load,t1_kb,t2_kb,avg_fct
mine,0.1,10.0,1024.0,1693816.36
mine,0.1,20.0,1024.0,1698331.22
mine,0.1,30.0,1024.0,1694842.68
mine,0.1,40.0,1024.0,1695281.63
mine,0.1,60.0,1024.0,1698198.03
mine,0.1,70.0,1024.0,1693149.18
mine,0.1,80.0,1024.0,1695275.58
mine,0.1,100.0,500.0,1698162.33
mine,0.1,100.0,750.0,1700839.74
mine,0.1,100.0,1000.0,1699941.35
mine,0.1,100.0,1024.0,1696299.58
mine,0.1,100.0,1250.0,1700531.46
mine,0.1,100.0,1500.0,1699153.75
mine,0.2,10.0,1024.0,2090594.94
mine,0.2,20.0,1024.0,2090044.12
mine,0.2,30.0,1024.0,2093096.76
mine,0.2,40.0,1024.0,2096077.07
mine,0.2,60.0,1024.0,2095046.19
mine,0.2,70.0,1024.0,2097447.23
mine,0.2,80.0,1024.0,2089562.12
mine,0.2,100.0,500.0,2123908.05
mine,0.2,100.0,750.0,2132827.70
mine,0.2,100.0,1000.0,2146661.82
mine,0.2,100.0,1024.0,2100070.23
mine,0.2,100.0,1250.0,2147747.51
mine,0.2,100.0,1500.0,2148425.08
mine,0.3,10.0,1024.0,2285649.45
mine,0.3,20.0,1024.0,2301095.22
mine,0.3,30.0,1024.0,2282592.24
mine,0.3,40.0,1024.0,2304866.96
mine,0.3,60.0,1024.0,2297642.86
mine,0.3,70.0,1024.0,2293507.30
mine,0.3,80.0,1024.0,2309413.19
mine,0.3,100.0,500.0,2303265.67
mine,0.3,100.0,750.0,2319265.77
mine,0.3,100.0,1000.0,2303314.60
mine,0.3,100.0,1024.0,2298132.68
mine,0.3,100.0,1250.0,2304346.24
mine,0.3,100.0,1500.0,2303949.49
mine,0.4,10.0,1024.0,2372946.53
mine,0.4,20.0,1024.0,2358018.69
mine,0.4,30.0,1024.0,2360197.85
mine,0.4,40.0,1024.0,2360762.68
mine,0.4,60.0,1024.0,2366208.02
mine,0.4,70.0,1024.0,2361059.10
mine,0.4,80.0,1024.0,2362852.38
mine,0.4,100.0,500.0,2358657.01
mine,0.4,100.0,750.0,2365955.91
mine,0.4,100.0,1000.0,2359993.11
mine,0.4,100.0,1024.0,2361540.25
mine,0.4,100.0,1250.0,2360616.05
mine,0.4,100.0,1500.0,2353873.10
mine,0.5,10.0,1024.0,2678638.91
mine,0.5,20.0,1024.0,2658837.68
mine,0.5,30.0,1024.0,2678693.61
mine,0.5,40.0,1024.0,2662038.73
mine,0.5,60.0,1024.0,2663649.71
mine,0.5,70.0,1024.0,2670950.78
mine,0.5,80.0,1024.0,2671166.05
mine,0.5,100.0,500.0,2685191.14
mine,0.5,100.0,750.0,2690628.54
mine,0.5,100.0,1000.0,2683601.79
mine,0.5,100.0,1024.0,2669309.60
mine,0.5,100.0,1250.0,2697521.98
mine,0.5,100.0,1500.0,2696811.71
mine,0.6,10.0,1024.0,2953049.33
mine,0.6,20.0,1024.0,2947502.13
mine,0.6,30.0,1024.0,2941383.26
mine,0.6,40.0,1024.0,2993087.62
mine,0.6,60.0,1024.0,2968879.91
mine,0.6,70.0,1024.0,2996770.44
mine,0.6,80.0,1024.0,2940236.19
mine,0.6,100.0,500.0,2959791.12
mine,0.6,100.0,750.0,2930553.89
mine,0.6,100.0,1000.0,2965582.67
mine,0.6,100.0,1024.0,2953789.16
mine,0.6,100.0,1250.0,2944520.08
mine,0.6,100.0,1500.0,2942144.30
mine,0.7,10.0,1024.0,3027274.32
mine,0.7,20.0,1024.0,3016506.41
mine,0.7,30.0,1024.0,3039662.08
mine,0.7,40.0,1024.0,3035036.07
mine,0.7,60.0,1024.0,3027995.41
mine,0.7,70.0,1024.0,3024166.46
mine,0.7,80.0,1024.0,3034494.39
mine,0.7,100.0,500.0,3062901.32
mine,0.7,100.0,750.0,3028427.17
mine,0.7,100.0,1000.0,3050662.89
mine,0.7,100.0,1024.0,3027679.06
mine,0.7,100.0,1250.0,3040042.51
mine,0.7,100.0,1500.0,3045733.72
mine,0.8,10.0,1024.0,3803024.69
mine,0.8,20.0,1024.0,3799116.14
mine,0.8,30.0,1024.0,3783165.16
mine,0.8,40.0,1024.0,3759977.31
mine,0.8,60.0,1024.0,3797149.14
mine,0.8,70.0,1024.0,3825496.26
mine,0.8,80.0,1024.0,3789428.23
mine,0.8,100.0,500.0,3787835.04
mine,0.8,100.0,750.0,3778354.86
mine,0.8,100.0,1000.0,3808399.75
mine,0.8,100.0,1024.0,3749941.85
mine,0.8,100.0,1250.0,3790393.35
mine,0.8,100.0,1500.0,3790814.47
mine,0.9,10.0,1024.0,3911977.91
mine,0.9,20.0,1024.0,3897270.03
mine,0.9,30.0,1024.0,3939511.93
mine,0.9,40.0,1024.0,3928812.99
mine,0.9,60.0,1024.0,3947698.79
mine,0.9,70.0,1024.0,3920172.49
mine,0.9,80.0,1024.0,3911524.80
mine,0.9,100.0,500.0,3937865.92
mine,0.9,100.0,750.0,3937295.42
mine,0.9,100.0,1000.0,3915759.42
mine,0.9,100.0,1024.0,3923340.40
mine,0.9,100.0,1250.0,3944451.65
mine,0.9,100.0,1500.0,3926008.33
